name_x,address_x,number,distancia,name_y,address_y,activate,no_available,total_bases,dock_bikes,free_bases,longitude,latitude
Teleférico Madrid,"Paseo del Pintor Rosales frente al nº 38,",113,366,Teleférico Madrid,"Paseo del Pintor Rosales frente al nº 38,",1,0,24,13,11,-3.7207263,40.427538
Teleférico Madrid,"Paseo del Pintor Rosales frente al nº 38,",114,366,Quintana,"Calle Quintana nº 13,",1,0,23,9,14,-3.7174631,40.4278379
Quintana,"Calle Quintana nº 13,",114,285,Quintana,"Calle Quintana nº 13,",1,0,23,9,14,-3.7174631,40.4278379
Quintana,"Calle Quintana nº 13,",115,285,Ferraz,"Paseo de Pintor Rosales (esquina Marqués de Cerralbo),",1,0,23,12,11,-3.7170515055225373,40.42531476841791
Ferraz,"Paseo de Pintor Rosales (esquina Marqués de Cerralbo),",115,285,Ferraz,"Paseo de Pintor Rosales (esquina Marqués de Cerralbo),",1,0,23,12,11,-3.7170515055225373,40.42531476841791
Ferraz,"Paseo de Pintor Rosales (esquina Marqués de Cerralbo),",114,285,Quintana,"Calle Quintana nº 13,",1,0,23,9,14,-3.7174631,40.4278379
Plaza de España,"Plaza de España nº16,",116A,265,Plaza de España,"Plaza de España nº16,",1,0,18,6,12,-3.713043,40.423679
Plaza de España,"Plaza de España nº16,",14,265,Ventura Rodríguez,"Ventura Rodríguez, 3,",1,0,27,3,24,-3.7133069,40.4260425
Metro Plaza de España,"Calle de los Reyes, nº10,",116B,288,Metro Plaza de España,"Calle de los Reyes, nº10,",1,1,18,0,0,-3.71046,40.423684
Metro Plaza de España,"Calle de los Reyes, nº10,",116A,288,Plaza de España,"Plaza de España nº16,",1,0,18,6,12,-3.713043,40.423679
Altamirano,"Calle Altamirano nº 24,",117,329,Altamirano,"Calle Altamirano nº 24,",1,0,23,14,9,-3.7188898,40.4309797
Altamirano,"Calle Altamirano nº 24,",111A,329,Metro Moncloa A,"Calle Arcipreste de Hita nº 8,",1,0,23,2,21,-3.7175248,40.4336027
"OFICINA DEL SER, APR Y BICIREGISTRO","Calle Juan Martínez el empeciado (esquina calle Bustamante) ,",118,228,"OFICINA DEL SER, APR Y BICIREGISTRO","Calle Juan Martínez el empeciado (esquina calle Bustamante) ,",1,0,23,15,8,-3.6882407,40.400781
"OFICINA DEL SER, APR Y BICIREGISTRO","Calle Juan Martínez el empeciado (esquina calle Bustamante) ,",119,228,Méndez Álvaro,"Calle Méndez Álvaro nº 11,",1,0,23,22,1,-3.6862653,40.4012905
