title,street-address,latitude,longitude,number,type_of_place,distance
Embajada de Paraguay,CALLE DOCTOR FLEMING 3 PLANTA 1,40.45493881024835,-3.689343217985603,238,embajada,458.44782697768716
Embajada de Paraguay,CALLE DOCTOR FLEMING 3 PLANTA 1,40.45493881024835,-3.689343217985603,157,embajada,467.36460851358896
Embajada de Países Bajos,PASEO CASTELLANA 259 PLANTA 36 D,40.47592404926307,-3.6872691224974417,248,embajada,196.07823393572255
Embajada de Países Bajos,PASEO CASTELLANA 259 PLANTA 36 D,40.47592404926307,-3.6872691224974417,249,embajada,453.8318337974496
Embajada de Países Bajos,PASEO CASTELLANA 259 PLANTA 36 D,40.47592404926307,-3.6872691224974417,217,embajada,587.7706789234139
Embajada de Perú,CALLE ZURBANO 70 PLANTA BAJA,40.43616945348523,-3.692959769973163,125,embajada,226.95285671000605
Embajada de Perú,CALLE ZURBANO 70 PLANTA BAJA,40.43616945348523,-3.692959769973163,247,embajada,245.53278187610957
Embajada de Perú,CALLE ZURBANO 70 PLANTA BAJA,40.43616945348523,-3.692959769973163,141,embajada,407.0239487995958
Embajada de Polonia,CALLE GUISANDO 23 BIS,40.470839866907276,-3.7303803419819235,599,embajada,1256.3343723193318
Embajada de Polonia,CALLE GUISANDO 23 BIS,40.470839866907276,-3.7303803419819235,317,embajada,1277.7625945872242
Embajada de Polonia,CALLE GUISANDO 23 BIS,40.470839866907276,-3.7303803419819235,316,embajada,1366.490169201475
Embajada de Portugal,CALLE LAGASCA 88 PLANTA 4 A,40.42991206232817,-3.6847491581278606,88,embajada,190.7881023072186
Embajada de Portugal,CALLE LAGASCA 88 PLANTA 4 A,40.42991206232817,-3.6847491581278606,103,embajada,232.91469145764287
Embajada de Portugal,CALLE LAGASCA 88 PLANTA 4 A,40.42991206232817,-3.6847491581278606,87,embajada,293.93852864724016
Embajada de Qatar,PASEO CASTELLANA 15 PLANTA 5,40.42811394313855,-3.690189203244315,104,embajada,164.3180986539177
Embajada de Qatar,PASEO CASTELLANA 15 PLANTA 5,40.42811394313855,-3.690189203244315,93,embajada,278.9358228475325
